店舗id,店舗名,商品コード,商品名 ,税率 ,賞味期限 ,容量 ,原単価 ,売単価 ,在庫数,原価金額,売価金額 
"2","新百合山手通り店","4526017081215","ﾋﾄﾂﾌﾞｴｺﾊﾞｯｸﾞYE","10.00","","ﾋﾄﾂﾌﾞｴｺﾊﾞｯｸﾞYE","360.00","800.00","1.00","360.0000","800.0000"
"2","新百合山手通り店","4526017081222","ﾋﾄﾂﾌﾞｴｺﾊﾞｯｸﾞGR","10.00","","ﾋﾄﾂﾌﾞｴｺﾊﾞｯｸﾞGR","360.00","800.00","1.00","360.0000","800.0000"
"2","新百合山手通り店","4526017081239","ﾋﾄﾂﾌﾞｴｺﾊﾞｯｸﾞOR","10.00","","ﾋﾄﾂﾌﾞｴｺﾊﾞｯｸﾞOR","360.00","800.00","1.00","360.0000","800.0000"
"2","新百合山手通り店","4526017081246","ﾋﾄﾂﾌﾞｴｺﾊﾞｯｸBK","10.00","","ﾋﾄﾂﾌﾞｴｺﾊﾞｯｸBK","360.00","800.00","2.00","720.0000","1600.0000"
"2","新百合山手通り店","4526017081338","ﾏﾙﾁｹｰｽﾌﾞﾀ","10.00","","ﾏﾙﾁｹｰｽﾌﾞﾀ","450.00","1000.00","1.00","450.0000","1000.0000"
"2","新百合山手通り店","4526017081345","ﾏﾙﾁｹｰｽｲﾝｺ","10.00","","ﾏﾙﾁｹｰｽｲﾝｺ","450.00","1000.00","1.00","450.0000","1000.0000"
"2","新百合山手通り店","4526017081369","ﾏﾙﾁｹｰｽｲﾇ","10.00","","ﾏﾙﾁｹｰｽｲﾇ","450.00","1000.00","1.00","450.0000","1000.0000"
"2","新百合山手通り店","4526017081482","ｹﾝｺｳﾃﾁｮｳｹｰｽｼﾊﾞｲﾇﾎﾜｲﾄ","10.00","","ｹﾝｺｳﾃﾁｮｳｹｰｽｼﾊﾞｲﾇﾎﾜｲﾄ","1125.00","2500.00","1.00","1125.0000","2500.0000"
"2","新百合山手通り店","4526017081499","ｹﾝｺｳﾃﾁｮｳｹｰｽﾀﾞｯｸｽﾎﾜｲﾄ","10.00","","ｹﾝｺｳﾃﾁｮｳｹｰｽﾀﾞｯｸｽﾎﾜｲﾄ","1125.00","2500.00","1.00","1125.0000","2500.0000"
"2","新百合山手通り店","4526017081505","ｹﾝｺｳﾃﾁｮｳｹｰｽﾁﾜﾜﾛﾝｸﾞﾎﾜｲﾄ","10.00","","ｹﾝｺｳﾃﾁｮｳｹｰｽﾁﾜﾜﾛﾝｸﾞﾎﾜｲﾄ","1125.00","2500.00","1.00","1125.0000","2500.0000"
"2","新百合山手通り店","4526017081512","ｹﾝｺｳﾃﾁｮｳｹｰｽﾌﾟｰﾄﾞﾙﾎﾜｲﾄ","10.00","","ｹﾝｺｳﾃﾁｮｳｹｰｽﾌﾟｰﾄﾞﾙﾎﾜｲﾄ","1125.00","2500.00","1.00","1125.0000","2500.0000"
"2","新百合山手通り店","4526017081529","ｹﾝｺｳﾃﾁｮｳｹｰｽｼﾊﾞｲﾇﾌﾞﾗｯｸ","10.00","","ｹﾝｺｳﾃﾁｮｳｹｰｽｼﾊﾞｲﾇﾌﾞﾗｯｸ","1125.00","2500.00","1.00","1125.0000","2500.0000"
"2","新百合山手通り店","4526017081536","ｹﾝｺｳﾃﾁｮｳｹｰｽﾀﾞｯｸｽﾌﾞﾗｯｸ","10.00","","ｹﾝｺｳﾃﾁｮｳｹｰｽﾀﾞｯｸｽﾌﾞﾗｯｸ","1125.00","2500.00","1.00","1125.0000","2500.0000"
"2","新百合山手通り店","4526017081543","ｹﾝｺｳﾃﾁｮｳｹｰｽﾁﾜﾜﾛﾝｸﾞﾌﾞﾗｯｸ","10.00","","ｹﾝｺｳﾃﾁｮｳｹｰｽﾁﾜﾜﾛﾝｸﾞﾌﾞﾗｯｸ","1125.00","2500.00","1.00","1125.0000","2500.0000"
"2","新百合山手通り店","4526017081550","ｹﾝｺｳﾃﾁｮｳｹｰｽｺｰｷﾞｰﾌﾞﾗｯｸ","10.00","","ｹﾝｺｳﾃﾁｮｳｹｰｽｺｰｷﾞｰﾌﾞﾗｯｸ","1125.00","2500.00","1.00","1125.0000","2500.0000"
"2","新百合山手通り店","4526017081840","ﾏｽｸｹｰｽPK","10.00","","ﾏｽｸｹｰｽPK","450.00","1000.00","1.00","450.0000","1000.0000"
"2","新百合山手通り店","4526017081871","ﾏｽｸｹｰｽGR","10.00","","ﾏｽｸｹｰｽGR","450.00","1000.00","1.00","450.0000","1000.0000"
"2","新百合山手通り店","4526017081888","ﾏｽｸｹｰｽOR","10.00","","ﾏｽｸｹｰｽOR","450.00","1000.00","1.00","450.0000","1000.0000"
"2","新百合山手通り店","4526017081901","ﾃﾉﾋﾗｺﾝﾋﾞﾆｴｺﾊﾞｯｸﾞPK","10.00","","ﾃﾉﾋﾗｺﾝﾋﾞﾆｴｺﾊﾞｯｸﾞPK","441.00","980.00","1.00","441.0000","980.0000"
"2","新百合山手通り店","4526017081918","ﾃﾉﾋﾗｺﾝﾋﾞﾆｴｺｶﾞｯﾌﾞBL","10.00","","ﾃﾉﾋﾗｺﾝﾋﾞﾆｴｺｶﾞｯﾌﾞBL","441.00","980.00","1.00","441.0000","980.0000"
"2","新百合山手通り店","4526017081925","ﾃﾉﾋﾗｺﾝﾋﾞﾆｴｺﾊﾞｯｸﾞye","10.00","","ﾃﾉﾋﾗｺﾝﾋﾞﾆｴｺﾊﾞｯｸﾞye","441.00","980.00","1.00","441.0000","980.0000"
"2","新百合山手通り店","4526017081932","ﾃﾉﾋﾗｺﾝﾋﾞﾆｴｺﾊﾞｯｸﾞgr","10.00","","ﾃﾉﾋﾗｺﾝﾋﾞﾆｴｺﾊﾞｯｸﾞgr","441.00","980.00","1.00","441.0000","980.0000"
"2","新百合山手通り店","4526017081949","ﾃﾉﾋﾗｺﾝﾋﾞﾆｴｺﾊﾞｯｸﾞｵﾚﾝｼﾞ","10.00","","ﾃﾉﾋﾗｺﾝﾋﾞﾆｴｺﾊﾞｯｸﾞｵﾚﾝｼﾞ","441.00","980.00","1.00","441.0000","980.0000"
"2","新百合山手通り店","4526017081956","ﾃﾉﾋﾗｺﾝﾋﾞﾆｴｺﾊﾞｯｸﾞbk","10.00","","ﾃﾉﾋﾗｺﾝﾋﾞﾆｴｺﾊﾞｯｸﾞbk","441.00","980.00","1.00","441.0000","980.0000"
"2","新百合山手通り店","4526017082137","ｸﾙｯﾄﾏｽｸｷｰﾊﾟｰPK","10.00","","ｸﾙｯﾄﾏｽｸｷｰﾊﾟｰPK","360.00","800.00","1.00","360.0000","800.0000"
"2","新百合山手通り店","4526017082144","ｸﾙｯﾄﾏｽｸｷｰﾊﾟｰGR","10.00","","ｸﾙｯﾄﾏｽｸｷｰﾊﾟｰGR","360.00","800.00","1.00","360.0000","800.0000"
"2","新百合山手通り店","4526017082151","ｸﾙｯﾄﾏｽｸｷｰﾊﾟｰPP","10.00","","ｸﾙｯﾄﾏｽｸｷｰﾊﾟｰPP","360.00","800.00","1.00","360.0000","800.0000"
"2","新百合山手通り店","4526017082168","ｸﾙｯﾄﾏｽｸｷｰﾊﾟｰNV","10.00","","ｸﾙｯﾄﾏｽｸｷｰﾊﾟｰNV","360.00","800.00","1.00","360.0000","800.0000"
"2","新百合山手通り店","4526017082175","ｸﾙｯﾄﾏｽｸｷｰﾊﾟｰBK","10.00","","ｸﾙｯﾄﾏｽｸｷｰﾊﾟｰBK","360.00","800.00","1.00","360.0000","800.0000"
