店舗名,部門名,項目,内訳,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,半年計,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,通年計
"","","粗利","当月","21,737","35,406","19,834","24,625","16,039","22,008","139,649","9,795","0","0","0","0","0","149,444"
"","","","前年","37,551","39,422","23,984","34,174","33,977","39,757","208,865","16,957","26,739","29,016","31,250","32,908","45,221","390,956"
"","","","前年比","58","90","83","72","47","55","67","58","0","0","0","0","0","38"
"","","客数","当月","62","66","49","48","71","51","347","29","0","0","0","0","0","376"
"","","","前年","102","85","75","84","75","81","502","58","60","57","78","79","91","925"
"","","","前年比","61","78","65","57","95","63","69","50","0","0","0","0","0","41"
"","家庭用品","売上","当月","33,755","31,875","17,135","61,280","21,059","15,395","180,499","7,760","0","0","0","0","0","188,259"
"","","","前年","37,294","44,984","32,513","46,155","34,076","46,870","241,892","40,933","35,015","23,526","54,287","38,776","29,751","464,180"
"","","","前年比","91","71","53","133","62","33","75","19","0","0","0","0","0","41"
"","","粗利","当月","7,140","6,139","2,136","11,746","3,297","730","31,188","-152","0","0","0","0","0","31,036"
"","","","前年","3,916","9,724","3,402","5,431","4,400","9,407","36,280","6,638","6,342","2,907","10,695","6,501","4,084","73,447"
"","","","前年比","182","63","63","216","75","8","86","-2","0","0","0","0","0","42"
"","","客数","当月","18","26","24","32","33","36","169","13","0","0","0","0","0","182"
"","","","前年","39","33","49","52","31","34","238","39","41","33","39","41","35","466"
"","","","前年比","46","79","49","62","106","106","71","33","0","0","0","0","0","39"
"","その他商品","売上","当月","95","1,300","394","540","400","0","2,729","0","0","0","0","0","0","2,729"
"","","","前年","910","0","0","0","500","1,000","2,410","0","400","500","0","0","7,720","11,030"
"","","","前年比","10","0","0","0","80","0","113","0","0","0","0","0","0","25"
"","","粗利","当月","94","1,297","392","539","399","0","2,721","0","0","0","0","0","0","2,721"
"","","","前年","908","0","0","0","499","998","2,405","0","399","499","0","0","3,619","6,922"
"","","","前年比","10","0","0","0","80","0","113","0","0","0","0","0","0","39"
"","","客数","当月","1","3","2","1","1","0","8","0","0","0","0","0","0","8"
"","","","前年","2","0","0","0","2","2","6","0","1","1","0","0","2","10"
"","","","前年比","50","0","0","0","50","0","133","0","0","0","0","0","0","80"
"","選抜２００品","売上","当月","2,550","4,176","1,990","3,260","3,277","3,576","18,829","2,061","0","0","0","0","0","20,890"
"","","","前年","4,290","4,881","5,170","1,956","3,948","2,464","22,709","1,592","5,766","3,180","5,250","1,356","3,673","43,526"
"","","","前年比","59","86","38","167","83","145","83","129","0","0","0","0","0","48"
"","","粗利","当月","820","1,331","615","1,010","897","1,206","5,879","721","0","0","0","0","0","6,600"
"","","","前年","1,455","1,461","1,665","606","1,113","824","7,124","492","1,856","1,050","1,685","436","788","13,431"
"","","","前年比","56","91","37","167","81","146","83","147","0","0","0","0","0","49"
"","","客数","当月","7","5","2","6","6","8","34","7","0","0","0","0","0","41"
"","","","前年","10","12","8","6","7","4","47","4","6","7","10","5","6","85"
"","","","前年比","70","42","25","100","86","200","72","175","0","0","0","0","0","48"
"","湧永製品","売上","当月","559,656","339,738","666,397","723,135","642,098","530,880","3,461,904","249,531","0","0","0","0","0","3,711,435"
"","","","前年","419,157","476,757","753,616","693,865","399,717","467,314","3,210,426","743,268","512,123","473,083","403,607","459,459","853,233","6,655,199"
"","","","前年比","134","71","88","104","161","114","108","34","0","0","0","0","0","56"
"","","粗利","当月","222,704","142,840","298,123","305,082","239,398","211,834","1,419,981","89,387","0","0","0","0","0","1,509,368"
"","","","前年","164,589","182,804","332,387","308,248","172,025","190,863","1,350,916","262,960","196,734","185,650","170,943","174,006","316,461","2,657,670"
"","","","前年比","135","78","90","99","139","111","105","34","0","0","0","0","0","57"
"","","客数","当月","36","24","32","36","35","36","199","17","0","0","0","0","0","216"
"","","","前年","31","26","37","41","28","37","200","35","47","31","28","31","48","420"
"","","","前年比","116","92","86","88","125","97","100","49","0","0","0","0","0","51"
"","資生堂化粧品","売上","当月","548","0","7,600","0","0","0","8,148","0","0","0","0","0","0","8,148"
"","","","前年","14,538","14,320","2,560","0","14,000","0","45,418","0","3,496","498","0","0","2,000","51,412"
"","","","前年比","4","0","297","0","0","0","18","0","0","0","0","0","0","16"
"","","粗利","当月","-159","-450","950","-450","0","-450","-559","0","0","0","0","0","0","-559"
"","","","前年","1,658","1,790","320","0","1,625","0","5,393","0","-18","22","0","0","125","5,522"
"","","","前年比","-10","-25","297","0","0","0","-10","0","0","0","0","0","0","-10"
"","","客数","当月","1","0","1","0","0","0","2","0","0","0","0","0","0","2"
"","","","前年","2","3","1","0","1","0","7","0","2","1","0","0","1","11"
"","","","前年比","50","0","100","0","0","0","29","0","0","0","0","0","0","18"
"","コーセー化粧品","売上","当月","20,100","18,880","0","28,180","894","21,430","89,484","900","0","0","0","0","0","90,384"
"","","","前年","22,880","0","1,600","6,038","33,200","900","64,618","36,890","2,880","0","16,181","0","5,100","125,669"
"","","","前年比","88","0","0","467","3","2,381","138","2","0","0","0","0","0","72"
"","","粗利","当月","3,930","4,012","0","5,647","-156","4,042","17,475","-150","0","0","0","0","0","17,325"
"","","","前年","4,862","0","200","1,345","6,649","-150","12,906","7,579","612","0","2,920","0","522","24,539"
"","","","前年比","81","0","0","420","-2","-2,695","135","-2","0","0","0","0","0","71"
"","","客数","当月","2","1","0","2","1","1","7","1","0","0","0","0","0","8"
"","","","前年","1","0","1","3","2","1","8","4","1","0","2","0","2","17"
"","","","前年比","200","0","0","67","50","100","88","25","0","0","0","0","0","47"
"","ソフィーナ","売上","当月","21,170","11,235","12,452","21,975","10,455","14,800","92,087","26,880","0","0","0","0","0","118,967"
"","","","前年","35,204","23,640","2,740","19,840","38,910","15,840","136,174","8,615","24,400","2,240","18,143","11,415","4,900","205,887"
"","","","前年比","60","48","454","111","27","93","68","312","0","0","0","0","0","58"
"","","粗利","当月","3,370","1,560","2,137","3,650","1,360","2,275","14,352","4,265","0","0","0","0","0","18,617"
"","","","前年","4,144","3,360","430","2,905","4,900","2,405","18,144","1,130","4,350","280","2,608","1,480","490","28,482"
"","","","前年比","81","46","497","126","28","95","79","377","0","0","0","0","0","65"
"","","客数","当月","3","5","3","3","3","5","22","3","0","0","0","0","0","25"
"","","","前年","8","8","1","5","9","6","37","3","4","1","5","3","2","55"
"","","","前年比","38","63","300","60","33","83","59","100","0","0","0","0","0","45"
"566　五位田店","食品","売上","当月","205,726","358,507","369,958","264,920","251,598","232,062","1,682,771","237,598","0","0","0","0","0","1,920,369"
"","","","前年","156,720","214,323","250,588","238,211","212,925","210,490","1,283,257","255,342","182,774","219,401","213,336","264,637","342,117","2,760,864"
"","","","前年比","131","167","148","111","118","110","131","93","0","0","0","0","0","70"
"","","粗利","当月","79,268","145,466","159,702","112,509","104,945","108,105","709,995","96,707","0","0","0","0","0","806,702"
"","","","前年","58,514","93,480","87,810","92,829","71,990","101,032","505,655","85,783","92,118","91,837","78,155","95,215","137,528","1,086,291"
"","","","前年比","135","156","182","121","146","107","140","113","0","0","0","0","0","74"
"","","客数","当月","64","61","97","67","79","77","445","38","0","0","0","0","0","483"
"","","","前年","74","68","79","64","76","64","425","79","55","67","64","67","88","845"
"","","","前年比","86","90","123","105","104","120","105","48","0","0","0","0","0","57"
"","日用雑貨","売上","当月","51,495","87,615","58,604","74,429","72,542","55,145","399,830","35,285","0","0","0","0","0","435,115"
"","","","前年","68,008","59,045","81,912","80,705","86,693","90,502","466,865","69,130","78,728","72,941","61,006","77,852","58,321","884,843"
"","","","前年比","76","148","72","92","84","61","86","51","0","0","0","0","0","49"
"","","粗利","当月","9,730","18,223","8,333","11,240","16,583","9,666","73,775","6,430","0","0","0","0","0","80,205"
"","","","前年","10,996","8,912","14,786","17,399","14,885","11,823","78,801","9,778","14,290","10,345","8,017","11,540","8,702","141,473"
"","","","前年比","88","204","56","65","111","82","94","66","0","0","0","0","0","57"
"","","客数","当月","65","70","62","79","66","68","410","36","0","0","0","0","0","446"
"","","","前年","75","82","81","88","86","98","510","79","86","78","86","77","78","994"
"","","","前年比","87","85","77","90","77","69","80","46","0","0","0","0","0","45"
"","ＯＴＣ医薬品類","売上","当月","961,977","824,831","964,222","952,131","877,982","1,063,950","5,645,093","632,492","0","0","0","0","0","6,277,585"
"","","","前年","824,881","999,041","933,687","1,217,723","968,411","1,020,892","5,964,635","1,352,314","1,010,434","1,051,697","1,013,739","957,411","943,312","12,293,542"
"","","","前年比","117","83","103","78","91","104","95","47","0","0","0","0","0","51"
"","","粗利","当月","268,865","187,294","181,532","241,946","191,358","230,573","1,301,568","146,893","0","0","0","0","0","1,448,461"
"","","","前年","172,611","209,322","211,816","400,123","251,189","236,447","1,481,508","302,596","236,457","201,142","225,987","206,020","187,955","2,841,665"
"","","","前年比","156","89","86","60","76","98","88","49","0","0","0","0","0","51"
"","","客数","当月","147","122","154","135","173","130","861","104","0","0","0","0","0","965"
"","","","前年","135","154","176","157","165","162","949","158","159","174","147","145","156","1,888"
"","","","前年比","109","79","88","86","105","80","91","66","0","0","0","0","0","51"
"","化粧品","売上","当月","14,550","63,480","50,003","36,457","41,630","36,680","242,800","5,626","0","0","0","0","0","248,426"
"","","","前年","20,514","67,762","59,075","29,333","62,365","69,257","308,306","26,664","53,728","34,373","28,246","29,097","53,302","533,716"
"","","","前年比","71","94","85","124","67","53","79","21","0","0","0","0","0","47"
"","","粗利","当月","6,371","17,315","13,480","5,857","11,484","14,311","68,818","1,606","0","0","0","0","0","70,424"
"","","","前年","7,939","11,772","12,501","10,131","18,221","15,690","76,254","7,204","14,173","9,885","11,701","12,003","12,141","143,361"
"","","","前年比","80","147","108","58","63","91","90","22","0","0","0","0","0","49"
"","","客数","当月","8","18","16","12","13","12","79","4","0","0","0","0","0","83"
"","","","前年","13","16","15","10","16","36","106","11","19","14","22","18","19","209"
"","","","前年比","62","113","107","120","81","33","75","36","0","0","0","0","0","40"
"","耐久消費財","売上","当月","5,695","510","255","10,504","510","255","17,729","520","0","0","0","0","0","18,249"
"","","","前年","933","0","260","260","0","255","1,708","510","1,189","338","0","255","260","4,260"
"","","","前年比","610","0","98","4,040","0","100","1,038","102","0","0","0","0","0","428"
"","","粗利","当月","886","0","0","886","0","0","1,772","10","0","0","0","0","0","1,782"
"","","","前年","258","0","5","5","0","0","268","0","259","83","0","0","5","615"
"","","","前年比","343","0","0","17,720","0","0","661","0","0","0","0","0","0","290"
"","","客数","当月","1","2","1","2","2","1","9","2","0","0","0","0","0","11"
"","","","前年","1","0","1","1","0","1","4","2","2","1","0","1","1","11"
"","","","前年比","100","0","100","200","0","100","225","100","0","0","0","0","0","100"
"","湧永製品","売上","当月","1,085,332","904,144","1,366,562","1,137,871","1,573,029","1,012,196","7,079,134","607,217","0","0","0","0","0","7,686,351"
"","","","前年","1,155,828","1,593,204","1,731,142","1,399,488","1,773,753","1,782,457","9,435,872","1,358,566","1,673,663","1,205,888","1,549,023","1,495,054","2,252,373","18,970,439"
"","","","前年比","94","57","79","81","89","57","75","45","0","0","0","0","0","41"
"","","粗利","当月","501,951","431,942","617,077","502,418","689,852","469,094","3,212,334","275,072","0","0","0","0","0","3,487,406"
"","","","前年","454,356","618,717","773,228","606,866","657,158","749,555","3,859,880","603,415","692,956","519,541","619,012","653,730","787,271","7,735,805"
"","","","前年比","110","70","80","83","105","63","83","46","0","0","0","0","0","45"
"","","客数","当月","118","111","126","133","181","106","775","57","0","0","0","0","0","832"
"","","","前年","118","137","161","143","171","159","889","139","168","123","172","150","157","1,798"
"","","","前年比","100","81","78","93","106","67","87","41","0","0","0","0","0","46"
"559　菅谷店","食品","売上","当月","36,131","37,644","34,145","54,593","46,493","41,250","250,256","41,307","0","0","0","0","0","291,563"
"","","","前年","56,206","39,825","47,183","46,064","79,115","52,380","320,773","52,032","37,708","22,113","62,222","34,304","68,117","597,269"
"","","","前年比","64","95","72","119","59","79","78","79","0","0","0","0","0","49"
"","","粗利","当月","14,173","13,368","9,317","16,006","13,494","16,379","82,737","14,068","0","0","0","0","0","96,805"
"","","","前年","19,672","11,978","13,489","13,996","25,284","17,577","101,996","12,291","9,642","7,152","17,811","9,688","20,183","178,763"
"","","","前年比","72","112","69","114","53","93","81","114","0","0","0","0","0","54"
"","","客数","当月","42","43","57","70","67","58","337","39","0","0","0","0","0","376"
"","","","前年","58","57","58","71","61","59","364","72","59","46","74","47","61","723"
"","","","前年比","72","75","98","99","110","98","93","54","0","0","0","0","0","52"
"","日用雑貨","売上","当月","54,926","67,554","51,693","75,564","56,805","88,246","394,788","37,370","0","0","0","0","0","432,158"
"","","","前年","74,502","63,281","82,167","92,995","56,694","70,074","439,713","79,355","67,191","78,098","70,615","65,980","81,708","882,660"
"","","","前年比","74","107","63","81","100","126","90","47","0","0","0","0","0","49"
"","","粗利","当月","15,966","21,045","15,670","19,112","15,866","19,435","107,094","9,690","0","0","0","0","0","116,784"
"","","","前年","23,365","18,651","28,286","31,986","15,230","21,043","138,561","22,719","14,964","22,325","20,797","19,763","26,233","265,362"
"","","","前年比","68","113","55","60","104","92","77","43","0","0","0","0","0","44"
"","","客数","当月","82","77","91","69","56","78","453","37","0","0","0","0","0","490"
"","","","前年","86","84","81","104","85","81","521","84","71","90","81","83","100","1,030"
"","","","前年比","95","92","112","66","66","96","87","44","0","0","0","0","0","48"
"","ＯＴＣ医薬品類","売上","当月","151,119","252,368","213,279","204,386","253,664","302,629","1,377,445","114,214","0","0","0","0","0","1,491,659"
"","","","前年","268,205","166,487","204,385","249,012","196,241","286,449","1,370,779","244,242","242,957","206,339","275,822","202,011","192,396","2,734,546"
"","","","前年比","56","152","104","82","129","106","100","47","0","0","0","0","0","55"
"","","粗利","当月","50,885","73,551","75,894","57,069","82,812","81,115","421,326","33,544","0","0","0","0","0","454,870"
"","","","前年","86,365","52,803","66,846","77,508","69,297","97,344","450,163","76,371","81,995","69,700","82,468","71,245","68,652","900,594"
"","","","前年比","59","139","114","74","120","83","94","44","0","0","0","0","0","51"
"","","客数","当月","66","75","86","80","72","73","452","45","0","0","0","0","0","497"
"","","","前年","85","73","86","92","80","97","513","98","95","88","83","78","87","1,042"
"","","","前年比","78","103","100","87","90","75","88","46","0","0","0","0","0","48"
"","化粧品","売上","当月","17,741","13,418","16,545","14,319","10,675","19,046","91,744","8,950","0","0","0","0","0","100,694"
"","","","前年","17,567","17,916","19,509","15,259","32,884","16,889","120,024","13,829","10,467","17,444","16,912","15,497","24,326","218,499"
"","","","前年比","101","75","85","94","32","113","76","65","0","0","0","0","0","46"
"","","粗利","当月","6,209","3,559","4,859","3,930","2,916","5,457","26,930","3,063","0","0","0","0","0","29,993"
"","","","前年","5,808","6,020","6,786","4,561","10,473","5,901","39,549","4,077","2,915","5,614","4,734","5,026","8,434","70,349"
"","","","前年比","107","59","72","86","28","92","68","75","0","0","0","0","0","43"
"","","客数","当月","16","12","18","16","14","19","95","9","0","0","0","0","0","104"
"","","","前年","18","20","18","15","24","14","109","16","13","18","19","19","22","216"
"","","","前年比","89","60","100","107","58","136","87","56","0","0","0","0","0","48"
"","湧永製品","売上","当月","69,695","71,215","95,470","113,917","27,695","108,830","486,822","75,375","0","0","0","0","0","562,197"
"","","","前年","68,251","89,150","69,156","102,915","119,422","55,055","503,949","33,544","101,855","109,630","81,656","109,310","77,036","1,016,980"
"","","","前年比","102","80","138","111","23","198","97","225","0","0","0","0","0","55"
"","","粗利","当月","22,553","27,843","38,643","49,326","12,211","50,477","201,053","29,978","0","0","0","0","0","231,031"
"","","","前年","28,697","29,789","31,403","37,506","51,391","21,838","200,624","18,642","34,951","45,280","37,160","37,182","31,853","405,692"
"","","","前年比","79","93","123","132","24","231","100","161","0","0","0","0","0","57"
"","","客数","当月","3","9","10","9","3","7","41","7","0","0","0","0","0","48"
"","","","前年","9","8","6","9","13","8","53","5","8","8","9","7","10","100"
"","","","前年比","33","113","167","100","23","88","77","140","0","0","0","0","0","48"
"","その他","売上","当月","41,137","32,960","42,286","39,883","24,808","39,244","220,318","18,095","0","0","0","0","0","238,413"
"","","","前年","39,019","48,544","44,824","45,668","41,579","48,618","268,252","36,440","36,764","48,873","41,793","38,916","44,916","515,954"
"","","","前年比","105","68","94","87","60","81","82","50","0","0","0","0","0","46"
"","","粗利","当月","24,631","25,344","31,751","30,251","18,157","33,363","163,497","12,052","0","0","0","0","0","175,549"
"","","","前年","28,092","36,758","32,332","33,694","30,468","28,890","190,234","28,616","28,228","34,346","28,561","30,281","33,345","373,611"
"","","","前年比","88","69","98","90","60","115","86","42","0","0","0","0","0","47"
"","","客数","当月","27","23","38","33","24","33","178","11","0","0","0","0","0","189"
"","","","前年","39","40","38","32","39","48","236","32","36","39","31","31","36","441"
"","","","前年比","69","57","100","103","62","69","75","34","0","0","0","0","0","43"
"236ミラドラ山口あさか店","","売上","当月","2,093","49,120","9,264","31,189","36,637","7,194","135,497","14,856","0","0","0","0","0","150,353"
"","","","前年","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","前年比","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","粗利","当月","716","18,975","4,364","8,384","14,063","1,584","48,086","5,660","0","0","0","0","0","53,746"
"","","","前年","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","前年比","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","客数","当月","3","5","1","8","6","6","29","4","0","0","0","0","0","33"
"","","","前年","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","前年比","0","0","0","0","0","0","0","0","0","0","0","0","0","0"