仕入日,店舗,仕入先コード,仕入先,部門コード,部門,商品コード,商品,税率,仕入数量,仕入単価,仕入金額,売単価,売価金額,粗利金額,粗利率
"2022/06/01","554　愛国東店","0918","住之江店","03","ＯＴＣ医薬品類","4987474111110","ホノミ　気上錠７５Ｔ","10.00","1.00","774.00","774","1980","1980","1206","60.91"
"2022/06/01","554　愛国東店","0918","住之江店","90","湧永製品","4968250260116","レオピンロイヤル　６０ｍｌ","10.00","6.00","4452.00","26712","9680","58080","31368","54.01"
"2022/06/01","554　愛国東店","0918","住之江店","90","湧永製品","4968250260123","レオピンロイヤル　１２０ｍｌ","10.00","3.00","8095.00","24285","17600","52800","28515","54.01"
"2022/06/01","554　愛国東店","0918","住之江店","90","湧永製品","4968250271112","レオピンファイブＮＥＯ　６０ｍｌ","10.00","6.00","2891.00","17346","6600","39600","22254","56.2"
"2022/06/01","552　住之江店","0699","材料転用","01","食品","3001310800011","サメミロン　１０ｐシート","8.00","10.00","264.00","2640","1350","13500","10860","80.44"
"2022/06/01","552　住之江店","0699","材料転用","01","食品","4954993100222","サメミロン　１００Ｐ","8.00","-1.00","2640.00","-2640","12420","-12420","-9780","78.74"
"2022/06/01","552　住之江店","0699","材料転用","05","家庭用品","4582197051141","釧路市ごみ処理手数料　　　　可燃　４０Ｌ　１０枚","10.00","-1.00","891.00","-891","1050","-1050","-159","15.14"
"2022/06/01","552　住之江店","0699","材料転用","05","家庭用品","4582197051189","釧路市ごみ処理手数料　　　　　可燃　４０Ｌ　１枚","10.00","10.00","90.00","900","105","1050","150","14.29"
"2022/06/01","552　住之江店","0699","材料転用","90","湧永製品","3000800100075","人参牛黄 4 ｐ","10.00","8.00","1696.00","6784","4840","19360","12576","64.96"
"2022/06/01","552　住之江店","0699","材料転用","90","湧永製品","3000800100129","湧永人参牛黄カプセル　　　２４ＣＰ","10.00","2.00","5088.00","10176","13200","26400","16224","61.45"
"2022/06/01","552　住之江店","0699","材料転用","90","湧永製品","3000800700084","湧永　生田七　１Ｈ","8.00","60.00","52.00","3120","216","12960","9840","75.93"
"2022/06/01","552　住之江店","0699","材料転用","90","湧永製品","4968250303110","眠りエール　９０ｃｐ","8.00","-1.00","1751.00","-1751","5832","-5832","-4081","69.98"
"2022/06/01","552　住之江店","0699","材料転用","90","湧永製品","4968250303219","眠りエール　　　　　　　　４５カプセル","8.00","2.00","876.00","1752","3240","6480","4728","72.96"
"2022/06/01","552　住之江店","0699","材料転用","90","湧永製品","4968250358110","湧永田七　分包　６０包","8.00","-1.00","3081.00","-3081","10260","-10260","-7179","69.97"
"2022/06/01","552　住之江店","0699","材料転用","90","湧永製品","4968250840417","人参牛黄カプセル　８０カプセル","10.00","-1.00","16985.00","-16985","44000","-44000","-27015","61.4"
"2022/06/01","552　住之江店","0899","ＥＣ事業部ミラドラ","03","ＯＴＣ医薬品類","4987474103115","ｴｽﾏ-ｹﾞﾝ  錠　  90  錠","10.00","-1.00","625.00","-625","1595","-1595","-970","60.82"
"2022/06/01","552　住之江店","0899","ＥＣ事業部ミラドラ","03","ＯＴＣ医薬品類","4987474106284","ホノミ　エッキ錠","10.00","-1.00","2737.00","-2737","7370","-7370","-4633","62.86"
"2022/06/01","552　住之江店","0899","ＥＣ事業部ミラドラ","03","ＯＴＣ医薬品類","4987474108110","オルスビー錠　３６錠","10.00","-3.00","960.00","-1440","2156","-3234","-1794","55.47"
"2022/06/01","552　住之江店","0899","ＥＣ事業部ミラドラ","03","ＯＴＣ医薬品類","4987474122321","ｼﾞｮｯｷ450  錠","10.00","-1.00","4770.00","-4770","11880","-11880","-7110","59.85"
"2022/06/01","552　住之江店","0899","ＥＣ事業部ミラドラ","03","ＯＴＣ医薬品類","4987474123373","シノミッテル　  450","10.00","-1.00","6156.00","-6156","15620","-15620","-9464","60.59"
"2022/06/01","552　住之江店","0899","ＥＣ事業部ミラドラ","03","ＯＴＣ医薬品類","4987474144279","ホノミビスキン　  240  カプセル","10.00","-3.00","6750.00","-10125","17160","-25740","-15615","60.66"
"2022/06/01","552　住之江店","0899","ＥＣ事業部ミラドラ","03","ＯＴＣ医薬品類","4987474153592","ワグラスＤ（Ｎ）　　　　　　　　　　　４５錠","10.00","-3.00","1674.00","-1674","4191","-4191","-2517","60.06"
"2022/06/01","552　住之江店","0899","ＥＣ事業部ミラドラ","03","ＯＴＣ医薬品類","4987474157118","ホノピレチン「せき」　  DEUX  　７２Ｔ","10.00","-1.00","758.00","-758","2046","-2046","-1288","62.95"
"2022/06/01","552　住之江店","0899","ＥＣ事業部ミラドラ","03","ＯＴＣ医薬品類","4987474161375","ホノマリア錠　５４０錠","10.00","-1.00","3460.00","-3460","7920","-7920","-4460","56.31"
"2022/06/01","552　住之江店","0899","ＥＣ事業部ミラドラ","03","ＯＴＣ医薬品類","4987474165212","ホノビエン錠ｄｅｕｘ","10.00","-1.00","1125.00","-1125","2860","-2860","-1735","60.66"
"2022/06/01","552　住之江店","0899","ＥＣ事業部ミラドラ","03","ＯＴＣ医薬品類","4987474174160","デーチカ　５０ｇ","10.00","-4.00","1539.00","-2052","3960","-5280","-3228","61.14"
"2022/06/01","552　住之江店","0899","ＥＣ事業部ミラドラ","03","ＯＴＣ医薬品類","4987474176195","ホノザルベ　  30  ｇ","10.00","-2.00","1138.00","-1138","3080","-3080","-1942","63.05"
"2022/06/01","552　住之江店","0899","ＥＣ事業部ミラドラ","03","ＯＴＣ医薬品類","4987474177239","チェリメントＡＧ軟膏　　８０Ｇ","10.00","-2.00","1647.00","-3294","4103","-8206","-4912","59.86"
"2022/06/01","552　住之江店","0899","ＥＣ事業部ミラドラ","03","ＯＴＣ医薬品類","4987474491205","ホノミ　ヨウジョウ錠　３６０錠","10.00","-1.00","2950.00","-2950","6490","-6490","-3540","54.55"
"2022/06/01","552　住之江店","0899","ＥＣ事業部ミラドラ","11","その他商品","4987474186217","ﾌﾗ-ﾘﾝ L300ｼﾞｮｳ","10.00","-1.00","1870.00","-1870","4202","-4202","-2332","55.5"
"2022/06/01","552　住之江店","0917","愛国東店","01","食品","4987596250018","ｸﾛﾚﾗ 　バイオリンク 1000","8.00","-3.00","5060.00","-15180","9936","-29808","-14628","49.07"
"2022/06/01","552　住之江店","0917","愛国東店","01","食品","4987596255563","ヤクケン　バイオリンクＢＣＥｘ５０３　３０ｍｌ×３","8.00","-5.00","4537.00","-22685","9720","-48600","-25915","53.32"
"2022/06/01","552　住之江店","0917","愛国東店","03","ＯＴＣ医薬品類","4987474111110","ホノミ　気上錠７５Ｔ","10.00","-1.00","774.00","-774","1980","-1980","-1206","60.91"
