日付,店舗名,内訳,税込売上金額,税抜売上金額,消費税8%,消費税,粗利金額,粗利率,客数,買上点数,客単価,1客買上点数,平均単価
"","通販","当日","5,530","5,028","0","502","3,152","62.69","1","2","5,028","2.00","2,514.00"
"","","累計","70,050","63,683","0","6,367","30,660","48.14","4","9","15,921","2.25","7,075.89"
"","","前年","77,000","70,009","0","6,991","31,261","44.65","14","29","5,001","2.07","2,414.10"
"","","前年比","91","91","0","91","98","107.82","29","31","3","1.09","2.93"
"","佐々店","当日","130,989","119,084","0","11,905","41,532","34.88","12","457","9,924","38.08","260.58"
"","","累計","637,920","579,946","0","57,974","233,425","40.25","66","1,613","8,787","24.44","359.54"
"","","前年","659,778","599,822","0","59,956","234,014","39.01","67","1,156","8,953","17.25","518.88"
"","","前年比","97","97","0","97","100","103.17","99","140","1","1.42","0.69"
"","佐世保本店","当日","352,634","320,581","0","32,053","81,938","25.56","15","814","21,372","54.27","393.83"
"","","累計","925,923","841,763","0","84,160","223,179","26.51","51","1,236","16,505","24.24","681.04"
"","","前年","1,387,949","1,261,950","720","125,279","385,978","30.59","44","136","28,681","3.09","9,279.04"
"","","前年比","67","67","0","67","58","86.68","116","909","1","7.84","0.07"
"","大塔店","当日","204,440","185,856","0","18,584","56,166","30.22","5","13","37,171","2.60","14,296.62"
"","","累計","1,746,202","1,587,467","0","158,735","515,115","32.45","47","81","33,776","1.72","19,598.36"
"","","前年","1,873,430","1,703,137","0","170,293","542,159","31.83","52","94","32,753","1.81","18,118.48"
"","","前年比","93","93","0","93","95","101.93","90","86","1","0.95","1.08"
"2022/10/05","通販","当日","0","0","0","0","0","0.00","0","0","0","0.00","0.00"
"","","累計","70,050","63,683","0","6,367","30,660","48.14","4","9","15,921","2.25","7,075.89"
"","","前年","185,410","168,568","0","16,842","83,838","49.74","22","47","7,662","2.14","3,586.55"
"","","前年比","38","38","0","38","37","96.80","18","19","2","1.05","1.97"
"","佐々店","当日","89,646","81,502","0","8,144","30,753","37.73","15","228","5,433","15.20","357.46"
"","","累計","727,566","661,448","0","66,118","264,178","39.94","81","1,841","8,166","22.73","359.29"
"","","前年","1,006,842","915,339","0","91,503","325,583","35.57","84","1,484","10,897","17.67","616.81"
"","","前年比","72","72","0","72","81","112.28","96","124","1","1.29","0.58"
"","佐世保本店","当日","115,588","105,084","0","10,504","40,912","38.93","14","25","7,506","1.79","4,203.36"
"","","累計","1,041,511","946,847","0","94,664","264,091","27.89","65","1,261","14,567","19.40","750.87"
"","","前年","1,761,137","1,601,219","720","159,198","506,729","31.65","59","695","27,139","11.78","2,303.91"
"","","前年比","59","59","0","59","52","88.14","110","181","1","1.65","0.33"
"","大塔店","当日","423,540","385,038","0","38,502","160,445","41.67","13","17","29,618","1.31","22,649.29"
